epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.001,1.0792764623959858,0.019521959754512503,1.2489532123912463,0.06660219019289933,0.12440520042336885
1,0.001,0.9352104294867742,1.2429645102349377e-06,0.9966256130825389,1.8646599116599524e-10,3.7293198223141276e-10
2,0.001,0.8774186571439108,0.10964470097565512,1.047095450488004,1.8646599116599524e-10,3.7293198223141276e-10
3,0.001,0.8554988106091818,0.23541120895285764,0.8527248393405568,0.04418501045368974,0.08221519229509257
4,0.001,0.8370741520609174,0.2432603697237419,0.9182779355482622,1.8646599116599524e-10,3.7293198223141276e-10
5,0.001,0.8025500689234052,0.29375121425037337,0.9602385542609475,0.18915456712721698,0.3138683955261868
6,0.001,0.7496938790593829,0.31728828192669833,0.9463798132809725,0.19313876821975606,0.31936946958789947
7,0.001,0.6451306768826076,0.37125567607972393,0.8690367341041565,0.252324181761657,0.39712504637069157
8,0.001,0.6191929025309426,0.38309592386390307,1.265098344195973,0.1450830451371741,0.250487593741425
9,0.001,0.5904046353839693,0.3806026275433162,1.9643206813118674,0.10858753068745298,0.19466686554242169
10,0.001,0.5753990553674244,0.4248313509869304,0.7171600731936368,0.34897589810383,0.5098733537150816
11,0.001,0.5934624998342424,0.3898175440933291,0.9727756435220892,0.26045546393298086,0.40783468464166933
12,0.001,0.5673554255848839,0.4054818819081454,0.5459432954137976,0.4627546132743181,0.6238789459337504
13,0.001,0.5508148726962862,0.4187061239556974,0.5270513539964502,0.47410059007782784,0.6335118202863073
14,0.001,0.5286360950697035,0.4451156602376484,0.5464157028631731,0.4487543861495333,0.6118764152699167
15,0.001,0.5127365802015577,0.4489595454712942,1.757592255418951,0.12378485226134202,0.21852003511744406
16,0.001,0.527514982791174,0.4361660488860426,0.5352585369890387,0.44587767884610513,0.60858478120397
17,0.001,0.514088185060592,0.45283583233075203,0.48661643266677856,0.4569848579325822,0.6165032937922259
18,0.001,0.5043096301101503,0.47202448919553064,0.5135033401575956,0.4982047244526623,0.65714902980057
19,0.001,0.48726614316304523,0.47145247281757047,2.2694405642422764,0.10361750592580408,0.18652887033607926
20,0.001,0.4869722354979742,0.4735135638033983,0.5710164091803811,0.44297802241555856,0.6010384153120956
21,0.001,0.4769338426135835,0.4900039976781513,0.5226000141013752,0.47400872488419665,0.6333021436245297
22,0.001,0.4840940719559079,0.4748081541278539,0.8839080442081798,0.24300566640515128,0.38498412847155544
23,0.001,0.4719345498652685,0.47495822984574976,0.46072192083705554,0.5016108260868826,0.6538911210769367
24,0.001,0.46922776386851356,0.4913757708478366,2.199080987410112,0.10891383769007704,0.19528814779282372
25,0.001,0.4633438438177109,0.48987945399570987,0.5748817487196489,0.44831271057756905,0.6099803715540535
26,0.001,0.4495216068767366,0.5131918716096381,3.640392130071467,0.0787632871321642,0.14533789823407003
27,0.001,0.4544314287957691,0.5115932288037502,1.0560766458511353,0.21369947489695987,0.3478733325942311
28,0.001,0.4326101569902329,0.5211924064178346,0.38803881948644464,0.57610611228334,0.7197478156092706
29,0.001,0.4458048755214328,0.5221356967836825,0.45599713108756323,0.5112489682801321,0.6644651672759981
